Title,Authors,URL,DOI,Published Date,Category,Key Finding For Capture Methodology,Metric Reported,Paper | Year | Crop | Device Used,Parameters Or Configuration,Tool/app/algorithm/method,Summary
Detecting Apples in the Wild: Potential for Harvest Quantity Estimation,"A. Janowski, R. Kazmierczak, Cezary Kowalczyk, J. Szulwic",https://www.mdpi.com/2071-1050/13/14/8054/pdf?version=1626848929,10.3390/SU13148054,2021,camera capture / pipeline,"Smartphones were considered a mass-accessible orchard capture device, but the paper focuses more on counting models and GNSS geo-positioning than on an explicit capture app or stabilization rig.",Method comparison; YOLO recommended for the proposed solution,Detecting Apples in the Wild: Potential for Harvest Quantity Estimation | 2021 | Apple orchards | Smartphones with camera + GNSS,Smartphones with required image-acquisition accuracy; dataset of 1102 apple images and 3800 background images,YOLO; Viola–Jones; Hough transformation; smartphone camera + GNSS,"This pilot orchard study tested smartphone-based fruit counting for apples and recommended YOLO over Viola–Jones and Hough-based counting for a practical yield-estimation workflow. It is one of the clearest examples in the search set of smartphones being treated as the capture device for field orchard CV, paired with GNSS positioning rather than a specialized camera rig."
"EscaYard: Precision viticulture multimodal dataset of vineyards affected by Esca disease consisting of geotagged smartphone images, phytosanitary status, UAV 3D point clouds and Orthomosaics","Sergio Vélez, M. Ariza-Sentís, J. Valente",https://edepot.wur.nl/659703,10.1016/j.dib.2024.110497,2024,camera capture / sync / metadata,"The paper explicitly documents a practical smartphone-and-GNSS capture workflow for orchard/vineyard field data, but gives no detailed app, codec, or stabilization protocol in the abstract.",Dataset utility for disease detection and yield estimation; no capture-performance metric reported in the abstract,EscaYard | 2024 | Vineyards / grapevines | iPhone X; Xiaomi Poco X3 Pro; DJI Matrice 210 V2 RTK; Micasense Altum; RTK GNSS,High-resolution images of individual plants; geotagged data; RTK GNSS location information,Geotagged smartphone image capture; RTK GNSS logging,"EscaYard is a precision-viticulture dataset built from geotagged smartphone images plus UAV data. The smartphone side is straightforward but useful: iPhone X and Xiaomi Poco X3 Pro were used for high-resolution vine imagery, and RTK GNSS was used to geotag the samples."
Preliminary Results for Halyomorpha halys Monitoring Relying on a Custom Dataset,"Francesco Betti Sorbelli, Lorenzo Palazzetti, C. Pinotti",https://www.semanticscholar.org/paper/c0c737395c00626ce75a41d51a50f8da50017637,10.1109/MetroAgriFor58484.2023.10424403,2023,camera capture / pipeline,"Relevant as a field-capture example, but the abstract does not specify the smartphone app, stabilization, synchronization, or preprocessing tools.",Promising detection results; no capture metric reported in abstract,Preliminary Results for Halyomorpha halys Monitoring Relying on a Custom Dataset | 2023 | Orchard pest scouting | Drone RGB camera; smartphones,Suboptimal drone imagery noted; smartphones used as additional field capture devices,Custom dataset; computer-vision detection pipeline,"This orchard monitoring case study used both a drone RGB camera and smartphones to gather images for Halyomorpha halys detection. The abstract emphasizes the pipeline of decisions needed for automation, but does not name a specific phone app or sensor stack."
Phenotyping of individual apple tree in modern orchard with novel smartphone-based heterogeneous binocular vision and YOLOv5s,"Guanao Zhao, R. Yang, Xudong Jing, Haosen Zhang, Zhenchao Wu, Xiaoming Sun, Hanhui Jiang, Rui Li, Xiaofeng Wei, S. Fountas, Huijun Zhang, Longsheng Fu",https://www.semanticscholar.org/paper/2f2b5d98c53b9c549168eaa4965dbb9ae44eb71e,10.1016/j.compag.2023.107814,2023,camera capture / calibration / pre-processing,This is one of the strongest explicit smartphone capture-method papers in the search set because it links the capture hardware to calibration and downstream phenotyping.,MAPE 6.00%–13.73% across five phenotypes,Phenotyping of individual apple tree in modern orchard with novel smartphone-based heterogeneous binocular vision and YOLOv5s | 2023 | Apple orchards | Multi-camera smartphone,Paired smartphone cameras; model simplified for deployment on smartphone,Virtual focal method; YOLOv5s; pinhole camera model; standard binocular vision,"A smartphone-based heterogeneous binocular vision method was developed for low-cost apple phenotyping. The paper explicitly says it used a pair of cameras on a multi-camera smartphone, then a virtual-focal method to create standard binocular images before YOLOv5s deployment."
Toward Estimating the Crop Coefficient of Vineyards Using a Smartphone Camera,"Jonathan Jaramillo, Justine Vanden Heuvel, Kirstin H. Petersen",https://www.ajevonline.org/content/ajev/76/2/0760020.full.pdf,10.5344/ajev.2025.24068,2025,camera capture / preprocessing / pipeline,"The abstract supports a simple but usable ground-video protocol for vineyard imaging, not a specialized camera app or sensor-logging setup.",R² = 0.68 versus Paso Panel,Toward Estimating the Crop Coefficient of Vineyards Using a Smartphone Camera | 2025 | Vineyards | Smartphone camera,Videos of ground under vine rows on a sunny day with resident vegetation,Segmentation model; structure-from-motion; Paso Panel comparison,"This vineyard study used a smartphone camera to record videos of the ground under vine rows and then estimated shaded area with a segmentation model plus structure-from-motion. The capture protocol is plain but explicit: smartphone video on a sunny day, with comparison against Paso Panel measurements."
Framework for smartphone-based grape detection and vineyard management using UAV-trained AI,"Sergio Vélez, M. Ariza-Sentís, Mario Triviño, Antonio Carlos Cob-Parro, Miquel Mila, J. Valente",https://www.semanticscholar.org/paper/9b040c13483ba97c38589bea8df8b155a82196e4,10.1016/j.heliyon.2025.e42525,2025,camera capture / pipeline,"The abstract is about on-device detection rather than capture protocol, but it does document a concrete Android field workflow.",TDR 90.8% (MobileNetV2) and 89.7% (quantized MobileNetV2); 103 ms per image for quantized MobileNetV2,Real-time kiwifruit detection in orchard using deep learning on Android™ smartphones for yield estimation | 2020 | Kiwi orchards | HUAWEI P20 smartphone; Android app,100 selected field images at 3968×2976 pixels; 8-bit quantization,KiwiDetector; SSD; MobileNetV2; InceptionV3; 8-bit quantization,"This smartphone app paper for kiwi detection is useful as an example of on-device field capture and inference. It reports an Android app, KiwiDetector, using SSD with MobileNetV2 or InceptionV3 on a Huawei P20, with 8-bit quantization to speed inference."
Real-time kiwifruit detection in orchard using deep learning on Android™ smartphones for yield estimation,"Zhongxian Zhou, Zhenzhen Song, Longsheng Fu, Fangfang Gao, Rui Li, Yongjie Cui",https://www.semanticscholar.org/paper/bba45bea678a5a98f498c47e20811f81e39af734,10.1016/j.compag.2020.105856,2020,camera capture / data pipeline,This is a software-pipeline example more than a field-capture protocol; the abstract does not specify stabilization or logging.,99% accuracy on custom dataset with ResNet50,Fruits Classification and Detection Application Using Deep Learning | 2022 | Fruits in general | Android smartphone,Android device camera in real time; images sent to web backend,YOLOv3; ResNet50; VGG16; Flask web framework; OpenCV/C++ pipeline,"The abstract describes an Android app for fruit classification and detection that sends smartphone-captured images to a web backend for analysis. It does not focus on orchard capture mechanics, but it does document a real-time mobile/web data pipeline."
"High-Throughput Image Analysis Framework for Fruit Detection, Localization and Measurement from Video Streams","Yi Hsuan Huang, Ta-Te Lin",https://www.semanticscholar.org/paper/5009e33ceb04818aa0f8b9f645dc572d100cc95a,10.13031/aim.201900487,2019,pre-processing / pipeline,Strong on downstream processing of captured video; the capture device/app details are not the focus of the abstract.,Hit rate 84.98% for detection,"High-Throughput Image Analysis Framework for Fruit Detection, Localization and Measurement from Video Streams | 2019 | Fruits / greenhouse row scans | Video-stream vision system",Video streams scanned row by row in a greenhouse,YOLOv2; tracking; optical flow; projective transformation; denoising; voting,"This video-stream framework uses YOLOv2 plus tracking, with online and offline variants that incorporate optical flow, projective transformation, denoising, and voting to improve fruit phenotyping from video. It is one of the clearer pipeline papers for processing orchard video after capture."
IC3INA 2023 Index,,https://ieeexplore.ieee.org/ielx7/10285704/10285730/10285770.pdf,10.1109/ic3ina60834.2023.10285770,2023,IMU / sync,"Not agriculture-specific, but directly relevant if you want to synchronize phone video with inertial or GNSS logs in a field protocol.",Positioning accuracy impact; no numeric field-capture metric in abstract,Time-Synchronized GNSS/IMU Data Logging from Android Smartphone and its Influence on the Positioning Accuracy | 2021 | Not agriculture-specific | Android smartphone logger,GNSS and IMU data not driven by a common clock; implementation inside Android logger,In-house GNSS/IMU logger; time-synchronization methodology,This paper is a review-oriented piece on IMU-based smartphone sensing rather than an agricultural capture study. It is still useful as a methodological reference because it documents an Android logger and explicit time-synchronization for GNSS/IMU processing.
Correction of distortions in image analysis for improved phenotyping of tomato fruit,"N. G. Rabelo, S. E. S. Faria, D. V. Matos, V. M. Maciel, J. R. Magalhães, V. Z. Anastácio, E. Rodrigues, Alcinei Místico Azevedo",https://periodicos.uem.br/ojs/index.php/ActaSciAgron/article/download/75604/751375162033,10.4025/actasciagron.v48i1.75604,2026,calibration,Directly relevant for smartphone intrinsic calibration and distortion correction before orchard CV inference.,Practical calibration evaluation; no single detection metric,Methodology and Tool Development for Mobile Device Cameras Calibration and Evaluation of the Results | 2023 | General mobile imaging | Mobile devices,Standard proposed for number and shooting angles of calibration photographs,OpenCV function; photogrammetry method; single-image rectification,This is a calibration study for mobile-device cameras. It compares an OpenCV-based method with a photogrammetry method and proposes a practical standard for the number and shooting angles of calibration photos.
