Title,Authors,URL,DOI,Published Date,Device,Domain,Imu Sensors,Key Finding,Metric Reported,Problem Solved,Sampling Rate,Year,Summary
Untitled,,,,,,,,,,,,,"Fuses gyroscope-based rotation with structure-from-motion translation to stabilize handheld mobile video in real scenarios; tested on smartphones and smart glasses while people were walking, climbing, or riding, and reported 32% better stabilization than state-of-the-art with 32.6 ms latency."
Deep Online Video Stabilization Using IMU Sensors,"Chen Li, Li Song, Shuai Chen, Rong Xie, Wenjing Zhang",https://www.semanticscholar.org/paper/31d327512139667001207f5fe273c9f86508fbc4,10.1109/TMM.2022.3142429,2023,Mobile devices with captured sensor data,Online smartphone video stabilization,Gyroscope and accelerometer (via Euler angles and acceleration values),Sensor guidance enabled real-time stabilization without image-content analysis.,25 fps on 1080p; outperformed state-of-the-art offline methods,Video stabilization,Not reported in abstract,2023,"A sensor-driven online stabilization network uses Euler angles and acceleration from IMU data to guide trajectory optimization and stable-frame reconstruction. It was trained on seven shooting scenarios and reported better performance than other state-of-the-art offline methods, with 25 fps stabilization on 1080p video."
Towards Visual-Inertial Integration: Multi-Modal Collaboration-based Video Stabilization,"Chaoran Li, Yanling Bu, Lei Xie",https://www.semanticscholar.org/paper/1e180051bf16a1b13cd5cf17c7b671067561de77,10.1109/ICDCS63083.2025.00107,2025,Mobile devices,Dynamic-scene mobile video stabilization,Gyroscope,Gyroscope cues helped reject moving-object features and improve stabilization quality.,47.8% SSIM improvement; 37% speed increase,Video stabilization in dynamic scenes,Not reported in abstract,2025,Gyroscope-assisted multi-modal stabilization uses feature clustering and relative-depth estimates to distinguish static from dynamic points and stabilize dynamic scenes. The abstract reports a 47.8% SSIM improvement and 37% faster processing versus traditional multimodal methods.
Dual-Modality Cross-Interaction-Based Hybrid Full-frame Video Stabilization,"J.-S Jang, Yuseok Ban, Kyungjae Lee",https://www.mdpi.com/2076-3417/14/10/4290/pdf?version=1716029240,10.3390/app14104290,2024,Mobile devices,Full-frame mobile video stabilization,IMU sensor data processed with Versatile Quaternion-based Filter,IMU motion compensation made full-frame stabilization more robust to optical-flow inaccuracy.,18% higher Stability score; 3% better Distortion value,Video stabilization and distortion reduction,Not reported in abstract,2024,"Combines IMU motion compensation with optical flow, PCA-flow stabilization, and neural rendering to create full-frame stabilized video. In the reported 'Turn' case, it improved Stability score by 18% and Distortion value by 3% over prior full-frame methods."
A Hybrid Motion Estimation for Video Stabilization Based on an IMU Sensor,"Jutamanee Auysakul, He Xu, V. Pooneeth",https://www.mdpi.com/1424-8220/18/8/2708/pdf?version=1534744737,10.3390/s18082708,2018,Low-cost handheld cameras / mobile devices,Handheld video stabilization,IMU (accelerometer and gyroscope implied by mobile sensor use),Hybridizing optical tracking with IMU motion estimation helped under larger camera rotations.,Real-time stabilization; no exact numeric metric in abstract,Video stabilization,Not reported in abstract,2018,"Switches between KLT tracking and an IMU-aided motion estimator, then smooths the camera path with a Kalman filter. The paper reports efficient real-time stabilization from five video sequences and uses the IMU path when rotations become too large for feature tracking."
Gyroscope-Based Video Stabilization for Electro-Optical Long-Range Surveillance Systems,"Petar D. Milanović, Ilija V. Popadic, Branko D. Kovacevic",https://www.mdpi.com/1424-8220/21/18/6219/pdf?version=1631867214,10.3390/s21186219,2021,Professional electro-optical system,Outdoor surveillance / electro-optical stabilization,Gyroscope,Gyroscope-only stabilization was computationally cheaper than feature-based digital stabilization.,Cut motion noise by about half; compared with two feature-based methods,Video stabilization,Not reported in abstract,2021,Implements real-time gyroscope-based video stabilization on a professional electro-optical system and compares it with two feature-based digital stabilization methods. The abstract emphasizes lower computational complexity and reports that the system cut motion noise roughly in half.
IMU-Assisted Learning of Single-View Rolling Shutter Correction,"Jiawei Mo, M. Islam, Junaed Sattar",https://www.semanticscholar.org/paper/ac79b771ff31894510e31078c0604cf99ba34fd8,,2020,Single-view camera / dataset with IMU and depth,Rolling-shutter correction,IMU,IMU-assisted pose refinement made single-image RS correction more useful for visual algorithms.,Improved downstream DSO performance; no exact number in abstract,Rolling-shutter correction,Not reported in abstract,2020,"A deep network for rolling-shutter correction refines camera pose using IMU data and extends a dataset with rolling-shutter images, IMU, depth maps, and poses. The corrected imagery improved downstream Direct Sparse Odometry compared with uncorrected rolling-shutter images."
Point feature correction based rolling shutter modeling for EKF-based visual-inertial odometry,"Kaijie Zhang, Menglong Zhang",https://www.semanticscholar.org/paper/dfd4631ee02463d45e38bc6a66ab4dd9af9eb490,10.1088/1361-6501/ad044e,2023,Android-based mobile phone,Rolling-shutter correction / visual-inertial odometry,High-frequency IMU,IMU-supported point correction improved both robustness and efficiency on mobile hardware.,Outperformed state-of-the-art on accuracy and computational cost,Rolling-shutter modeling and correction for VIO,Not reported in abstract,2023,"Uses optimized camera poses and high-frequency IMU to correct point features in rolling-shutter images to a global-shutter view, with online self-calibration of readout time. The system was ported to Android and reported better accuracy and computational cost than state-of-the-art on a public dataset."
Simultaneous Video Stabilization and Rolling Shutter Removal,"Huicong Wu, Liang Xiao, Zhihui Wei",https://www.semanticscholar.org/paper/870c047fc0aba18500908f7208a57e71ce1c137d,10.1109/TIP.2021.3073865,2021,CMOS camera / handheld capture,Rolling-shutter video stabilization,Not specified in abstract,Joint modeling of jitter and rolling shutter is more effective than treating them separately.,Superiority over state-of-the-art methods; no exact number in abstract,Simultaneous stabilization and rolling-shutter removal,Not reported in abstract,2021,Jointly stabilizes and rectifies rolling-shutter shaky video by estimating both inter-frame and intra-frame motion. The method explicitly tackles the coupled problems of video jitter and rolling-shutter distortion and reports superiority over other state-of-the-art methods.
Robust Single Image Deblurring Using Gyroscope Sensor,"Seo-Won Ji, Jun-Pyo Hong, Jeongmin Lee, S. Baek, Sung-Jea Ko",https://ieeexplore.ieee.org/ielx7/6287639/9312710/09444479.pdf,10.1109/ACCESS.2021.3084968,2021,Handheld mobile devices,Motion deblurring,Gyroscope,Gyroscope guidance improved deblurring when camera motion caused strong blur.,Improved visual quality; better feature detectors/descriptors,Single-image motion deblurring,Not reported in abstract,2021,A deep deblurring network uses gyroscope measurements to estimate camera motion and adapt kernel shapes for handheld single-image deblurring. The paper reports improved visual quality and stronger feature-detection/description performance under blur.
